Uniprot ID	kcat	unit	KEGG ID	Substrates	Products	PMID	substrate_IDs	products_IDs	complete
P0ABQ4	8.07	s^(-1)	R00939	H+;NADPH;Dihydrofolate	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	5.97	s^(-1)	R00939	NADPH;Dihydrofolate;H+	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	4.92	s^(-1)	R00939	Dihydrofolate;NADPH;H+	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	4.8	s^(-1)	R00939	NADPH;H+;Dihydrofolate	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	6.75	s^(-1)	R00939	H+;Dihydrofolate;NADPH	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	6.03	s^(-1)	R00939	NADPH;Dihydrofolate;H+	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P11797	34.9	s^(-1)	R00022	H2O;Chitobiose	N-Acetyl-D-glucosamine	15178342	['C01674', 'C00001']	['C00140']	True
P07254	34.9	s^(-1)	R00022	H2O;Chitobiose	N-Acetyl-D-glucosamine	15178342	['C01674', 'C00001']	['C00140']	True
P11797	1.2	s^(-1)	R00022	Chitobiose;H2O	N-Acetyl-D-glucosamine	15178342	['C01674', 'C00001']	['C00140']	True
P07254	1.2	s^(-1)	R00022	Chitobiose;H2O	N-Acetyl-D-glucosamine	15178342	['C01674', 'C00001']	['C00140']	True
P11797	0.11	s^(-1)	R00022	Chitobiose;H2O	N-Acetyl-D-glucosamine	15178342	['C01674', 'C00001']	['C00140']	True
P07254	0.11	s^(-1)	R00022	Chitobiose;H2O	N-Acetyl-D-glucosamine	15178342	['C01674', 'C00001']	['C00140']	True
P25704	57.1	s^(-1)	R00658	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	15752688	['C00631']	['C00074', 'C00001']	True
P25704	19.6	s^(-1)	R00658	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	15752688	['C00631']	['C00074', 'C00001']	True
P25704	5.96	s^(-1)	R00658	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	15752688	['C00631']	['C00074', 'C00001']	True
P25704	13.6	s^(-1)	R00658	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	15752688	['C00631']	['C00074', 'C00001']	True
P25704	26.4	s^(-1)	R00658	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	15752688	['C00631']	['C00074', 'C00001']	True
P25704	14.0	s^(-1)	R00658	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	15752688	['C00631']	['C00074', 'C00001']	True
P25704	41.1	s^(-1)	R00658	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	15752688	['C00631']	['C00074', 'C00001']	True
P25704	11.5	s^(-1)	R00658	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	15752688	['C00631']	['C00074', 'C00001']	True
P25704	3.6	s^(-1)	R00658	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	15752688	['C00631']	['C00074', 'C00001']	True
P25704	12.4	s^(-1)	R00658	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	15752688	['C00631']	['C00074', 'C00001']	True
P25704	14.9	s^(-1)	R00658	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	15752688	['C00631']	['C00074', 'C00001']	True
P25704	12.0	s^(-1)	R00658	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	15752688	['C00631']	['C00074', 'C00001']	True
P25704	57.0	s^(-1)	R00658	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	15752688	['C00631']	['C00074', 'C00001']	True
P25704	3.6	s^(-1)	R00658	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	15752688	['C00631']	['C00074', 'C00001']	True
P25704	11.5	s^(-1)	R00658	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	15752688	['C00631']	['C00074', 'C00001']	True
P04746	2.98	s^(-1)		Maltotriose;H2O	alpha-D-Glucose;Maltose	15722449	['InChI=1S/C18H32O16/c19-1-4-7(22)8(23)12(27)17(31-4)34-15-6(3-21)32-18(13(28)10(15)25)33-14-5(2-20)30-16(29)11(26)9(14)24/h4-29H,1-3H2/t4-,5-,6-,7-,8+,9-,10-,11-,12-,13-,14-,15-,16?,17-,18-/m1/s1', 'InChI=1S/H2O/h1H2']	['InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6+/m1/s1', 'InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11-,12-/m1/s1']	True
P04746	0.87	s^(-1)		H2O;Maltotriose	alpha-D-Glucose;Maltose	15722449	['InChI=1S/H2O/h1H2', 'InChI=1S/C18H32O16/c19-1-4-7(22)8(23)12(27)17(31-4)34-15-6(3-21)32-18(13(28)10(15)25)33-14-5(2-20)30-16(29)11(26)9(14)24/h4-29H,1-3H2/t4-,5-,6-,7-,8+,9-,10-,11-,12-,13-,14-,15-,16?,17-,18-/m1/s1']	['InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6+/m1/s1', 'InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11-,12-/m1/s1']	True
Q9X0D0	0.008666667	s^(-1)	R00694	L-Phenylalanine;2-Oxoglutarate	L-Glutamate;Phenylpyruvate	15007066	['C00079', 'C00026']	['C00166', 'C00025']	True
Q9X0D0	0.04333333	s^(-1)	R00734	2-Oxoglutarate;L-Tyrosine	L-Glutamate;3-(4-Hydroxyphenyl)pyruvate	15007066	['C00082', 'C00026']	['C01179', 'C00025']	True
Q9X0D0	0.01416667	s^(-1)	R00684	L-Tryptophan;2-Oxoglutarate	Indolepyruvate;L-Glutamate	15007066	['C00078', 'C00026']	['C00331', 'C00025']	True
P37610	12.5	s^(-1)	R05320	O2;Taurine;2-Oxoglutarate	Succinate;Sulfite;Aminoacetaldehyde;CO2	15751960	['C00245', 'C00026', 'C00007']	['C00094', 'C06735', 'C00042', 'C00011']	True
P37610	7.3	s^(-1)	R05320	Taurine;O2;2-Oxoglutarate	Succinate;CO2;Aminoacetaldehyde;Sulfite	15751960	['C00245', 'C00026', 'C00007']	['C00094', 'C06735', 'C00042', 'C00011']	True
P37610	11.0	s^(-1)	R05320	Taurine;O2;2-Oxoglutarate	Aminoacetaldehyde;Succinate;CO2;Sulfite	15751960	['C00245', 'C00026', 'C00007']	['C00094', 'C06735', 'C00042', 'C00011']	True
P37610	6.6	s^(-1)	R05320	O2;2-Oxoglutarate;Taurine	Succinate;Aminoacetaldehyde;Sulfite;CO2	15751960	['C00245', 'C00026', 'C00007']	['C00094', 'C06735', 'C00042', 'C00011']	True
P37610	0.83	s^(-1)	R05320	2-Oxoglutarate;O2;Taurine	Aminoacetaldehyde;Sulfite;CO2;Succinate	15751960	['C00245', 'C00026', 'C00007']	['C00094', 'C06735', 'C00042', 'C00011']	True
P37610	1.75	s^(-1)	R05320	O2;2-Oxoglutarate;Taurine	Sulfite;CO2;Aminoacetaldehyde;Succinate	15751960	['C00245', 'C00026', 'C00007']	['C00094', 'C06735', 'C00042', 'C00011']	True
P37610	3.8	s^(-1)	R05320	O2;2-Oxoglutarate;Taurine	Sulfite;Succinate;Aminoacetaldehyde;CO2	15751960	['C00245', 'C00026', 'C00007']	['C00094', 'C06735', 'C00042', 'C00011']	True
P37610	15.1	s^(-1)	R05320	O2;Taurine;2-Oxoglutarate	CO2;Sulfite;Aminoacetaldehyde;Succinate	15751960	['C00245', 'C00026', 'C00007']	['C00094', 'C06735', 'C00042', 'C00011']	True
P37610	6.3	s^(-1)	R05320	2-Oxoglutarate;O2;Taurine	CO2;Succinate;Sulfite;Aminoacetaldehyde	15751960	['C00245', 'C00026', 'C00007']	['C00094', 'C06735', 'C00042', 'C00011']	True
P37610	4.55	s^(-1)	R05320	Taurine;2-Oxoglutarate;O2	Aminoacetaldehyde;Succinate;CO2;Sulfite	15751960	['C00245', 'C00026', 'C00007']	['C00094', 'C06735', 'C00042', 'C00011']	True
P37610	6.2	s^(-1)	R05320	2-Oxoglutarate;Taurine;O2	CO2;Succinate;Aminoacetaldehyde;Sulfite	15751960	['C00245', 'C00026', 'C00007']	['C00094', 'C06735', 'C00042', 'C00011']	True
P37610	3.7	s^(-1)	R05320	O2;Taurine;2-Oxoglutarate	CO2;Sulfite;Succinate;Aminoacetaldehyde	15751960	['C00245', 'C00026', 'C00007']	['C00094', 'C06735', 'C00042', 'C00011']	True
P37610	10.4	s^(-1)	R05320	O2;Taurine;2-Oxoglutarate	Succinate;Sulfite;CO2;Aminoacetaldehyde	15751960	['C00245', 'C00026', 'C00007']	['C00094', 'C06735', 'C00042', 'C00011']	True
