rxn_id	kegg_reaction_id	ec_code	substrates	products
MAR04429	R02155	2.1.1.8	C00388;C00019	C00080;C05127;C00021
MAR04430	R04674	1.4.3.4	C00001;C05127;C00007	C00080;C00027;C05827;C00014
MAR04431	R04996	1.2.1.5	C00001;C05827;C00003	C00080;C05828;C00004
MAR04437	R01168	4.3.1.3	C00135	C00080;C00014;C00785
MAR04658	R02287	2.1.2.5	C00664;C00025	C00080;C00439;C00101
MAR04660	R02288	3.5.2.7	C03680;C00001	C00080;C00439
MAR04712	R02914	4.2.1.49	C00001;C00785	C03680
MAR08783	R02150	1.4.3.6	C00001;C00388;C00007	C00080;C00027;C05130;C00014
MAR08784	R04065	1.2.1.3	C00001;C05130;C00003	C00080;C02835;C00004
MAR08786	R04065	1.2.1.4	C00001;C05130;C00003	C00080;C02835;C00004
MAR04241	R03938	2.1.1.43	C00080;C03702;C00021	C02415;C00019
MAR04288	R00716	1.5.1.8	C00026;C00080;C00047;C00005	C00001;C00006;C00449
MAR04596	R01939	2.6.1.39	C00322;C00025	C00026;C00956
MAR04597	R01939	2.6.1.39	C00322;C00025	C00026;C00956
MAR04599	R13167	1.2.4.2	C00248;C22667	C06157;C00068
MAR04667	R02313	1.5.1.9	C00001;C00003;C00449	C01475;C00025;C00080;C00004
MAR04668	R02315	1.5.1.10	C00001;C00006;C00449	C01475;C00025;C00080;C00005
MAR04737	R03102	1.2.1.31	C01475;C00001;C00003	C00080;C00956;C00004
MAR04739	R03102	1.2.1.31	C01475;C00001;C00003	C00080;C00956;C00004
MAR04740	R02317	1.14.17.1	C00450;C00080;C00001	C01475
MAR06415	R02571	2.3.1.61	C00010;C06157	C00579;C00527
MAR06975	R03875	2.1.1.43	C02188;C00019	C05544;C00080;C00021
MAR06976	R04866	2.1.1.43	C05544;C00019	C05545;C00080;C00021
MAR06977	R04867	2.1.1.43	C05545;C00019	C05546;C00080;C00021
MAR06978	R04313	3.4.21.89	C05546;C00001	C00017;C00080;C03793
MAR06979	R03451	1.14.11.8	C00026;C03793;C00007	C01259;C00011;C00042
MAR06981	R03283	1.2.1.47	C01149;C00001;C00003	C01181;C00080;C00004
MAR06982	R02397	1.4.11.1	C00026;C01181;C00007	C00011;C15025;C00042
MAR06983	R03376	1.14.11.4	C02188;C00026;C00007	C00011;C01211;C00042
MAR06984	R03380	2.4.1.50	C01211;C00052	C04487;C00080;C00015
MAR06985	R04491	2.4.1.66	C04487;C00029	C04759;C00080;C00015
MAR08021	R02204	1.5.3.1	C00016;C00408	C00450;C01352;C00080
MAR08027	R04867	2.1.1.43	C05545;C00019	C05546;C00080;C00021
MAR03164	R03026	4.2.1.17	C00877;C00001	C01144
MAR03166	R01975	1.1.1.35	C01144;C00003	C00332;C00080;C00004
MAR03885	R00238	2.3.1.9	C00332;C00010	C00024
MAR08092	R04907	1.4.3.4	C05636;C00007	C05637;C00080;C00027;C00014
MAR08563	R02678	1.2.1.4	C00001;C00637;C00003	C00080;C00954;C00004
MAR03935	R06982	4.4.1.22	C00067;C00051	C14180
MAR04681	R00699	4.1.1.28	C00080;C00079	C00011;C05332
