rxn,KEGG_rxn_id,ec-code,genes,substrates,products,direction
EX_pyr_e,,,,pyr_e(1.0),,forward
EX_succ_e,,,,succ_e(1.0),,forward
FBA,R01068,4.1.2.13,b2097;b2925,fdp_c(1.0),dhap_c(1.0);g3p_c(1.0),forward
FBA,R01068,4.1.2.13,b2097;b2925,dhap_c(1.0);g3p_c(1.0),fdp_c(1.0),reverse
FBP,,3.1.3.11,b2930;b3925;b4232,fdp_c(1.0);h2o_c(1.0),f6p_c(1.0);pi_c(1.0),forward
FORt2,,,,for_e(1.0);h_e(1.0),for_c(1.0);h_c(1.0),forward
FORt,,,,for_e(1.0),for_c(1.0),forward
FRD7,,,,fum_c(1.0);q8h2_c(1.0),q8_c(1.0);succ_c(1.0),forward
FRUpts2,,,,fru_e(1.0);pep_c(1.0),f6p_c(1.0);pyr_c(1.0),forward
FUM,R01082,4.2.1.2,b1611;b1612;b1675;b2929;b4122,fum_c(1.0);h2o_c(1.0),mal__L_c(1.0),forward
FUM,R01082,4.2.1.2,b1611;b1612;b1675;b2929;b4122,mal__L_c(1.0),fum_c(1.0);h2o_c(1.0),reverse
FUMt2_2,,,,fum_e(1.0);h_e(2.0),fum_c(1.0);h_c(2.0),forward
G6PDH2r,R00835,1.1.1.363;1.1.1.49,b1852;b1852,g6p_c(1.0);nadp_c(1.0),6pgl_c(1.0);h_c(1.0);nadph_c(1.0),forward
G6PDH2r,R00835,1.1.1.363;1.1.1.49,b1852;b1852,6pgl_c(1.0);h_c(1.0);nadph_c(1.0),g6p_c(1.0);nadp_c(1.0),reverse
GAPD,R01061,1.2.1.12;1.2.1.59,b1779,g3p_c(1.0);nad_c(1.0);pi_c(1.0),13dpg_c(1.0);h_c(1.0);nadh_c(1.0),forward
GAPD,R01061,1.2.1.12;1.2.1.59,b1779,13dpg_c(1.0);h_c(1.0);nadh_c(1.0),g3p_c(1.0);nad_c(1.0);pi_c(1.0),reverse
GLCpts,,,,glc__D_e(1.0);pep_c(1.0),g6p_c(1.0);pyr_c(1.0),forward
GLNS,R00253,6.3.1.2,b3870,atp_c(1.0);glu__L_c(1.0);nh4_c(1.0),adp_c(1.0);gln__L_c(1.0);h_c(1.0);pi_c(1.0),forward
GLNabc,,3.6.3.21,,atp_c(1.0);gln__L_e(1.0);h2o_c(1.0),adp_c(1.0);gln__L_c(1.0);h_c(1.0);pi_c(1.0),forward
GLUDy,R00248,1.4.1.13;1.4.1.3;1.4.1.4,b3212;b3213;b1761,glu__L_c(1.0);h2o_c(1.0);nadp_c(1.0),akg_c(1.0);h_c(1.0);nadph_c(1.0);nh4_c(1.0),forward
GLUDy,R00248,1.4.1.13;1.4.1.3;1.4.1.4,b3212;b3213;b1761,akg_c(1.0);h_c(1.0);nadph_c(1.0);nh4_c(1.0),glu__L_c(1.0);h2o_c(1.0);nadp_c(1.0),reverse
GLUN,R00256,6.3.5.2;4.3.3.6;6.3.5.5;1.4.7.1;6.3.5.4;3.5.1.2;6.3.4.2;1.4.1.13;3.5.1.38,b2507;b0032;b0033;b0674;b0485;b1524;b2780;b3212;b3213,gln__L_c(1.0);h2o_c(1.0),glu__L_c(1.0);nh4_c(1.0),forward
GLUSy,R00114,1.4.1.13,b3212;b3213,akg_c(1.0);gln__L_c(1.0);h_c(1.0);nadph_c(1.0),glu__L_c(2.0);nadp_c(1.0),forward
GLUt2r,,,,glu__L_e(1.0);h_e(1.0),glu__L_c(1.0);h_c(1.0),forward
GLUt2r,,,,glu__L_c(1.0);h_c(1.0),glu__L_e(1.0);h_e(1.0),reverse
GND,R01528,1.1.1.44;1.1.1.351,b2029,6pgc_c(1.0);nadp_c(1.0),co2_c(1.0);nadph_c(1.0);ru5p__D_c(1.0),forward
H2Ot,,,,h2o_e(1.0),h2o_c(1.0),forward
H2Ot,,,,h2o_c(1.0),h2o_e(1.0),reverse
ICDHyr,R00267,1.1.1.42,b1136,icit_c(1.0);nadp_c(1.0),akg_c(1.0);co2_c(1.0);nadph_c(1.0),forward
ICDHyr,R00267,1.1.1.42,b1136,akg_c(1.0);co2_c(1.0);nadph_c(1.0),icit_c(1.0);nadp_c(1.0),reverse
ICL,R00479,4.1.3.1,b4015,icit_c(1.0),glx_c(1.0);succ_c(1.0),forward
LDH_D,R00704,1.1.1.28,b1380,lac__D_c(1.0);nad_c(1.0),h_c(1.0);nadh_c(1.0);pyr_c(1.0),forward
LDH_D,R00704,1.1.1.28,b1380,h_c(1.0);nadh_c(1.0);pyr_c(1.0),lac__D_c(1.0);nad_c(1.0),reverse
MALS,R00472,2.3.3.9,b2976;b4014,accoa_c(1.0);glx_c(1.0);h2o_c(1.0),coa_c(1.0);h_c(1.0);mal__L_c(1.0),forward
MALt2_2,,,,h_e(2.0);mal__L_e(1.0),h_c(2.0);mal__L_c(1.0),forward
MDH,R00342,1.1.1.37;1.1.1.299,b3236,mal__L_c(1.0);nad_c(1.0),h_c(1.0);nadh_c(1.0);oaa_c(1.0),forward
MDH,R00342,1.1.1.37;1.1.1.299,b3236,h_c(1.0);nadh_c(1.0);oaa_c(1.0),mal__L_c(1.0);nad_c(1.0),reverse
ME1,R00214,1.1.1.38;1.1.1.39,b1479,mal__L_c(1.0);nad_c(1.0),co2_c(1.0);nadh_c(1.0);pyr_c(1.0),forward
ME2,R00216,1.1.1.40,b2463,mal__L_c(1.0);nadp_c(1.0),co2_c(1.0);nadph_c(1.0);pyr_c(1.0),forward
NADH16,,1.6.5.3,,h_c(4.0);nadh_c(1.0);q8_c(1.0),h_e(3.0);nad_c(1.0);q8h2_c(1.0),forward
NADTRHD,R00112,1.6.1.3;1.6.1.2;1.6.1.1,b3962,nad_c(1.0);nadph_c(1.0),nadh_c(1.0);nadp_c(1.0),forward
NH4t,,,,nh4_e(1.0),nh4_c(1.0),forward
NH4t,,,,nh4_c(1.0),nh4_e(1.0),reverse
O2t,,,,o2_e(1.0),o2_c(1.0),forward
O2t,,,,o2_c(1.0),o2_e(1.0),reverse
PDH,R00209,1.2.1;1.8.1.4;1.2.1.51;1.2.4.1;2.3.1.12,b0116;b0114;b0115,coa_c(1.0);nad_c(1.0);pyr_c(1.0),accoa_c(1.0);co2_c(1.0);nadh_c(1.0),forward
