RxnID	EC_Code	Uniprot	KEGG_Substrate	KEGG_Product
MAR03669	2.3.1.26	P35610	C16179;C00187	NaN;C00010
MAR03669	2.3.1.26	O75908	C16179;C00187	NaN;C00010
MAR03670	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03670	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03671	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03671	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03672	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03672	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03673	2.3.1.26	P35610	C00187;C02050	NaN;C00010
MAR03673	2.3.1.26	O75908	C00187;C02050	NaN;C00010
MAR03674	2.3.1.26	P35610	C00187;C03035	NaN;C00010
MAR03674	2.3.1.26	O75908	C00187;C03035	NaN;C00010
MAR03675	2.3.1.26	P35610	C00187;C03595	NaN;C00010
MAR03675	2.3.1.26	O75908	C00187;C03595	NaN;C00010
MAR03676	2.3.1.26	P35610	C02249;C00187	NaN;C00010
MAR03676	2.3.1.26	O75908	C02249;C00187	NaN;C00010
MAR03677	2.3.1.26	P35610	C16170;C00187	NaN;C00010
MAR03677	2.3.1.26	O75908	C16170;C00187	NaN;C00010
MAR03678	2.3.1.26	P35610	C16171;C00187	NaN;C00010
MAR03678	2.3.1.26	O75908	C16171;C00187	NaN;C00010
MAR03679	2.3.1.26	P35610	C16172;C00187	NaN;C00010
MAR03679	2.3.1.26	O75908	C16172;C00187	NaN;C00010
MAR03680	2.3.1.26	P35610	C16173;C00187	NaN;C00010
MAR03680	2.3.1.26	O75908	C16173;C00187	NaN;C00010
MAR03681	2.3.1.26	P35610	C16180;C00187	NaN;C00010
MAR03681	2.3.1.26	O75908	C16180;C00187	NaN;C00010
MAR03682	2.3.1.26	P35610	C16645;C00187	NaN;C00010
MAR03682	2.3.1.26	O75908	C16645;C00187	NaN;C00010
MAR03683	2.3.1.26	P35610	NaN;C00187	NaN;C00010
MAR03683	2.3.1.26	O75908	NaN;C00187	NaN;C00010
MAR03684	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C02679
MAR03684	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C02679
MAR03685	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C17076
MAR03685	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C17076
MAR03686	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C06424
MAR03686	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C06424
MAR03687	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03687	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03688	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03688	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03689	3.1.1.13	P38571	NaN;C00001	C00187;C00080;NaN
MAR03689	3.1.1.13	P19835	NaN;C00001	C00187;C00080;NaN
MAR03690	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C16537
MAR03690	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C16537
MAR03691	3.1.1.13	P38571	C11251;C00001	C00187;C00080;C00249
MAR03691	3.1.1.13	P19835	C11251;C00001	C00187;C00080;C00249
MAR03692	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03692	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03693	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C08362
MAR03693	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C08362
MAR03694	3.1.1.13	P38571	NaN;C00001	C00187;C00080;NaN
MAR03694	3.1.1.13	P19835	NaN;C00001	C00187;C00080;NaN
MAR03695	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03695	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03696	3.1.1.13	P38571	NaN;C00001	C16536;C00187;C00080
MAR03696	3.1.1.13	P19835	NaN;C00001	C16536;C00187;C00080
MAR03697	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C01530
MAR03697	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C01530
MAR03698	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03698	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03699	3.1.1.13	P38571	NaN;C00001	C00187;C08367;C00080
MAR03699	3.1.1.13	P19835	NaN;C00001	C00187;C08367;C00080
MAR03700	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C00712
MAR03700	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C00712
MAR03701	3.1.1.13	P38571	NaN;C00001	C00187;C00712;C00080
MAR03701	3.1.1.13	P19835	NaN;C00001	C00187;C00712;C00080
MAR03702	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03702	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03703	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03703	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03704	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C16535
MAR03704	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C16535
MAR03705	3.1.1.13	P38571	NaN;C00001	C00187;C06425;C00080
MAR03705	3.1.1.13	P19835	NaN;C00001	C00187;C06425;C00080
MAR03706	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03706	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03707	3.1.1.13	P38571	NaN;C00001	C00187;C16526;C00080
MAR03707	3.1.1.13	P19835	NaN;C00001	C00187;C16526;C00080
MAR03708	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03708	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03709	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03709	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03710	3.1.1.13	P38571	NaN;C00001	C00187;C00080;NaN
MAR03710	3.1.1.13	P19835	NaN;C00001	C00187;C00080;NaN
MAR03711	3.1.1.13	P38571	NaN;C00001	C00187;C00080;NaN
MAR03711	3.1.1.13	P19835	NaN;C00001	C00187;C00080;NaN
MAR03712	3.1.1.13	P38571	NaN;C00001	C08281;C00187;C00080
MAR03712	3.1.1.13	P19835	NaN;C00001	C08281;C00187;C00080
MAR03713	3.1.1.13	P38571	NaN;C00001	C00187;C08316;C00080
MAR03713	3.1.1.13	P19835	NaN;C00001	C00187;C08316;C00080
MAR03714	3.1.1.13	P38571	NaN;C00001	C00187;NaN;C00080
MAR03714	3.1.1.13	P19835	NaN;C00001	C00187;NaN;C00080
MAR03715	3.1.1.13	P38571	NaN;C00001	C00187;C00080;NaN
MAR03715	3.1.1.13	P19835	NaN;C00001	C00187;C00080;NaN
MAR03716	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C08320
MAR03716	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C08320
MAR03717	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C08323
MAR03717	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C08323
MAR03718	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03718	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03719	3.1.1.13	P38571	NaN;C00001	C00187;C00080;NaN
MAR03719	3.1.1.13	P19835	NaN;C00001	C00187;C00080;NaN
MAR03720	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C06427
MAR03720	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C06427
MAR03721	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C16300
MAR03721	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C16300
MAR03722	3.1.1.13	P38571	NaN;C00001	C00187;C00080;NaN
MAR03722	3.1.1.13	P19835	NaN;C00001	C00187;C00080;NaN
