rxn	KEGG_rxn_id	ec_code	direction	substrates_name	substrates_kegg	products_name	products_kegg	genes_model	kegg_genes	intersection_genes
ACONTa	R01325	4.2.1.3	reverse	Cis-Aconitate;H2O H2O	C00417;C00001	Citrate	C00158	b0118	b0118;b1276	b0118
ACONTa	R01325	4.2.1.3	forward	Citrate	C00158	Cis-Aconitate;H2O H2O	C00417;C00001	b1276	b0118;b1276	b1276
ACONTa	R01325	4.2.1.3	reverse	Cis-Aconitate;H2O H2O	C00417;C00001	Citrate	C00158	b1276	b0118;b1276	b1276
ACONTb	R01900	4.2.1.3	forward	Cis-Aconitate;H2O H2O	C00417;C00001	Isocitrate	C00311	b0118	b0118;b1276	b0118
ACONTb	R01900	4.2.1.3	reverse	Isocitrate	C00311	Cis-Aconitate;H2O H2O	C00417;C00001	b0118	b0118;b1276	b0118
ACONTb	R01900	4.2.1.3	forward	Cis-Aconitate;H2O H2O	C00417;C00001	Isocitrate	C00311	b1276	b0118;b1276	b1276
ACONTb	R01900	4.2.1.3	reverse	Isocitrate	C00311	Cis-Aconitate;H2O H2O	C00417;C00001	b1276	b0118;b1276	b1276
ATPM	R00086	3.6.1.5	forward	ATP C10H12N5O13P3;H2O H2O	C00002;C00001	ADP C10H12N5O10P2;H+;Phosphate	C00008;C00080;C00009			
ATPM	R00086	3.6.3.34	forward	ATP C10H12N5O13P3;H2O H2O	C00002;C00001	ADP C10H12N5O10P2;H+;Phosphate	C00008;C00080;C00009			
ATPM	R00086	3.6.3.20	forward	ATP C10H12N5O13P3;H2O H2O	C00002;C00001	ADP C10H12N5O10P2;H+;Phosphate	C00008;C00080;C00009			
ATPM	R00086	3.6.3.53	forward	ATP C10H12N5O13P3;H2O H2O	C00002;C00001	ADP C10H12N5O10P2;H+;Phosphate	C00008;C00080;C00009			
ATPM	R00086	3.6.3.8	forward	ATP C10H12N5O13P3;H2O H2O	C00002;C00001	ADP C10H12N5O10P2;H+;Phosphate	C00008;C00080;C00009			
ATPM	R00086	3.6.3.32	forward	ATP C10H12N5O13P3;H2O H2O	C00002;C00001	ADP C10H12N5O10P2;H+;Phosphate	C00008;C00080;C00009			
ATPM	R00086	3.6.4.12	forward	ATP C10H12N5O13P3;H2O H2O	C00002;C00001	ADP C10H12N5O10P2;H+;Phosphate	C00008;C00080;C00009			
ATPM	R00086	3.6.3.48	forward	ATP C10H12N5O13P3;H2O H2O	C00002;C00001	ADP C10H12N5O10P2;H+;Phosphate	C00008;C00080;C00009			
ATPM	R00086	3.6.3.40	forward	ATP C10H12N5O13P3;H2O H2O	C00002;C00001	ADP C10H12N5O10P2;H+;Phosphate	C00008;C00080;C00009			
